Player,Age,Height,Foot
Adams Friday,22,1.72m,N/A
,18,N/A,Right
Romario Benzar,33,1.80m,Right
Aldair Ferreira,27,1.75m,Left
Alexandru Albu,31,1.88m,Right
Charles Petro,24,1.76m,Right
Gabriel David,22,N/A,N/A
Enriko Papa,32,1.78m,Right
Robert Filip,23,1.80m,Right
Lorand Fulop,27,1.80m,Both
Francisco Junior,33,1.72m,Right
Gaston Manuel Romano,27,1.78m,Right
Darius Pascalau,19,N/A,N/A
George Sorodoc,19,N/A,N/A
Ale Diez,29,1.73m,Right
Eduard Florescu,28,1.83m,Left
Hervin Ongenda,30,1.71m,Right
Jaly Mouaddib,24,1.81m,Both
Zoran Mitrov,23,N/A,N/A
Stefan Bodisteanu,22,1.80m,Right
,27,1.73m,Right
Alexandru Cimpanu,24,1.78m,Left
Stefan Panoiu,22,1.77m,Left
George Gligor,20,N/A,N/A
Adi Chica-Rosa,26,1.85m,Right
Enzo Lopez,27,1.81m,Right
Juan Cruz Kaprof,30,1.69m,Right
,18,N/A,N/A
Ionut Ailenei,24,N/A,N/A
Jesus Fernandez,37,1.90m,Left
Toma Niga,27,1.87m,N/A
Darius Dobrean,N/A,N/A,N/A
Guilherme,24,1.86m,Right
Nicolas Samayoa,29,1.89m,Right
Claudio Silva,25,1.88m,Left
Matija Boben,31,1.91m,Right
Mohammed Umar,22,1.93m,Right
Florin Ilie,33,1.88m,Right
Rares Ispas,24,N/A,Left
Stefan Stefanovici,23,N/A,N/A
David Atanaskoski,28,1.76m,Left
Catalin Cret,25,N/A,Left
Todor Todoroski,26,1.80m,Right
Mihai Adascalitei,30,1.85m,Both
Samuel Oum Gouet,27,1.85m,Right
Dudu Nardini,27,1.85m,Left
Catalin Itu,25,1.87m,Right
Mihai Bordeianu,33,1.75m,Right
Julian Marchioni,32,1.81m,Left
Robert Miskovic,25,1.90m,Right
Luca Mihai,21,1.85m,Left
Denis Ciobanu,21,1.87m,Right
Diego Farcas,19,N/A,N/A
Vlad Ilie,17,N/A,N/A
,22,1.82m,Right
Alin Roman,31,1.73m,Left
Adama Diakhaby,28,1.84m,Left
Joao Amaral,33,1.72m,Both
Romario Moise,28,1.75m,Right
Valentin Borcea,22,1.75m,Right
Valentin Gheorghe,28,1.75m,Right
Goncalo Teixeira,25,1.79m,Right
Matei Tanasa,19,1.80m,Right
Tailson,26,1.77m,Both
Antonio Bordusanu,20,N/A,Left
David Popa,18,1.62m,Left
Shayon Harrison,27,1.83m,Left
Sekou Camara,27,1.83m,Right
Xhuliano Skuka,26,1.85m,Right
Florian Kamberi,30,1.89m,Right
Billel Omrani,32,1.88m,Left
David Lazar,33,1.85m,N/A
Alexandru Greab,33,1.98m,Right
Dorian Railean,31,1.85m,Right
Dragos Horeboiu,22,1.96m,Right
Grigore Turda,27,1.88m,Right
Alin Dobrosavlevici,30,1.87m,Right
Dragan Lovric,29,1.94m,Right
Israel Puerto,32,1.87m,Right
Mike Cestor,33,1.83m,Left
Dragos Grigore,38,1.85m,Right
Alexandru Dandea,37,1.88m,N/A
Bradley de Nooijer,27,1.86m,Left
Denis Dumitrascu,30,1.82m,Left
Robert Salceanu,21,1.80m,Left
Cosmin Gladun,23,N/A,Right
Alessandro Ciranni,29,1.72m,Right
